id,text,text-markup,sentiment
1,"Kommt das Auto durch den TÜV?
Zitat:     Zitat von  sebbo87      da dein wagen ja BJ 2007 ist. müsste doch sowieso noch die werksgarantie greifen?!       ne ne is net der peugeot 207 der läuft prima. hab noch nen ford mondeo mk3 bj 02 (fam. ) und nen ford fiesta bj. 96 anzubieten (freundin).   und beim mondeo tut es der tacho leider net mehr. . .", Kommt das Auto durch den T‚Ä†V? Zitat: Zitat von sebbo87 da dein wagen ja BJ 2007 ist. m≈∏sste doch sowieso noch die werksgarantie greifen?! ne ne is net der peugeot 207 der l≈†uft prima. hab noch nen ford mondeo mk3 bj 02 (fam. ) und nen ford fiesta bj. 96 anzubieten (freundin). und beim mondeo tut es der tacho leider net mehr. . .,Neutral
2,"Leck am Gasfilter
Hi @ all.   Zum anlernen des Motorsteuergerätes sollte man etwa 500KM fahren, immer in 50KM-Wechselintervallen. Natürlich mit Benzin angefangen.   Also immer 50 KM Benzin, 50 KM Gas bis 500KM.   Dann sollte beim reinen Gasfahren nichts mehr passieren.   Musste ich auch vor kurzem mit meinem Mondeo machen.   Seitdem läuft er wieder Einwandfrei!!!"," Leck am Gasfilter Hi @ all. Zum anlernen des Motorsteuerger≈†tes sollte man etwa 500KM fahren, immer in 50KM-Wechselintervallen. Nat≈∏rlich mit Benzin angefangen. Also immer 50 KM Benzin, 50 KM Gas bis 500KM. Dann sollte beim <LXA_POSSIBLE>reinen Gasfahren</LXA_POSSIBLE> nichts <LXA_POSSIBLE>mehr passieren</LXA_POSSIBLE>. Musste ich auch vor kurzem mit meinem Mondeo machen. Seitdem l≈†uft er wieder Einwandfrei!!!",Neutral
3,"v6 ruckelt wenn die klima läuft
Zitat:     Zitat von  Mondeo MK1      koennte ein stromproblem sein. . . batterie schon alt?     nein, wird wohl eher zuviel kühlmittel sein! hab nachher nen termin in der werkstatt, dann gucken die nochmal nach!"," v6 ruckelt wenn die klima l≈†uft Zitat: Zitat von Mondeo MK1 koennte ein stromproblem sein. . . batterie schon alt? nein, wird wohl eher zuviel k≈∏hlmittel sein! hab nachher <LXA_POSSIBLE>nen termin</LXA_POSSIBLE> in der werkstatt, dann gucken die nochmal nach!",Neutral
4,"Escort mit Autogas?
Zitat:     Zitat von  cossie_mk7_driver      Deswegen guck Ich mich jetzt doch nach nen Diesel um scheint auf dauer doch die bessere wenn auch teurere Lösung zu sein       Du bist aber schnell vom LPG abzubringen.   Warum denn dann beim Fahrzeugneukauf ein Diesel???   Diesel ist nur 3Ct. billiger.   Ich fahre nun seit 25. 000KM Autogas in meinem Mondeo und habe umgerechnet ca. 2. 500,__ Euro an Benzinkosten eingespart, also den Anschaffungswert der LPG-Anlage(Kosten: 2. 100,__Euro) schon längst wieder draussen!!!      Es stimmt schon, dass die Ford-Maschinen nur bedingt LPG-tauglich sind. Aber wenn man die Anlage genauestens eingestellt hat und auf das Flash-Lube(Zusatzschmierstoff für die Ventile) achtet, wirst du lange Spass an einem Ford-LPG-Auto haben.   Nur ist ein Escort(wegen dem Alter der Karosserie) nicht mehr unbedingt zum umrüsten geeignet. Es sei denn dein Unterboden ist wirklich noch absolut Rostfrei( auch an den hinteren Längsträgern)!!!   Letztendlich musst aber du entscheiden was du machen möchtest.   Ich habe es bisher nicht bereut, meinen Mondi auf Gas umgerüstet zu haben."," Escort mit Autogas? Zitat: Zitat von cossie_mk7_driver Deswegen guck Ich mich jetzt doch nach <LXA_POSSIBLE>nen Diesel</LXA_POSSIBLE> um scheint auf dauer doch die bessere wenn auch <LXA_POSSIBLE>teurere L≈°sung</LXA_POSSIBLE> zu sein Du bist aber schnell vom LPG abzubringen. Warum denn dann beim Fahrzeugneukauf ein Diesel??? Diesel ist nur 3Ct. billiger. Ich fahre nun seit 25. 000KM Autogas in meinem Mondeo und habe umgerechnet ca. 2. 500,__ Euro an Benzinkosten eingespart, also den Anschaffungswert der LPG-Anlage(Kosten: 2. 100,__Euro) schon l≈†ngst <LXA_POSSIBLE>wieder draussen</LXA_POSSIBLE>!!! Es stimmt schon, dass die Ford-Maschinen nur bedingt LPG-tauglich sind. Aber wenn man die Anlage <LXA_POSSIBLE>genauestens eingestellt</LXA_POSSIBLE> hat und auf das Flash-Lube(Zusatzschmierstoff f≈∏r die Ventile) achtet, wirst du lange Spass an einem Ford-LPG-Auto haben. Nur ist ein Escort(wegen dem Alter der Karosserie) nicht mehr unbedingt zum <LXA_POSSIBLE>umr≈∏sten geeignet</LXA_POSSIBLE>. Es sei denn dein Unterboden ist wirklich noch absolut Rostfrei( auch an den <LXA_POSSIBLE>hinteren L≈†ngstr≈†gern</LXA_POSSIBLE>)!!! Letztendlich musst aber du entscheiden was du machen m≈°chtest. Ich habe es bisher <LXA_POSSIBLE>nicht bereut</LXA_POSSIBLE>, meinen Mondi auf Gas umger≈∏stet zu haben.",Neutral
6,"Wie ist der Motor 1,6L 90 PS
Möchte mich nbur kurz zum Öl äussern.    Also unser Mondeo bekommt seid ca. 150 000km nur 15W40 vom billigsten rein gekippt. . .         und nix ist passiert. .         und wenn man so wie wir/ich alle 15 000km Ölwechsel macht. . passiert den Hydros garnix. .    Die werden bloß böse, wenn das Öl auf Grund der Laufleistung verdreckt. ."," Wie ist der Motor 1,6L 90 PS M≈°chte mich nbur kurz zum ‚Ä¶l ≈†ussern. Also unser Mondeo bekommt seid ca. 150 000km nur 15W40 vom billigsten <LXA_POSSIBLE>rein gekippt</LXA_POSSIBLE>. . . und nix ist passiert. . und wenn man so wie wir/ich alle 15 000km ‚Ä¶lwechsel macht. . passiert den Hydros garnix. . Die werden blo¬ß b≈°se, wenn das ‚Ä¶l auf Grund der Laufleistung verdreckt. .",Neutral
7,"Wie ist der Motor 1,6L 90 PS
wir haben auch ein mondeo allerdings mk2 also den nachfolger von bj98 mit der 1. 8er maschine und 115ps. das ist das mindeste. mit den 115ps ist er net grad untermotorisiert aber au net grad flink. würde die 2. 0 maschione mit 130ps empfehlen. der 2. 5 v6 id übertrieben un teuer in der versicherung.  "," Wie ist der Motor 1,6L 90 PS wir haben auch ein mondeo allerdings mk2 also den nachfolger von bj98 mit der 1. <LXA_POSSIBLE>8er maschine</LXA_POSSIBLE> und 115ps. das ist das mindeste. mit den 115ps ist er net <LXA_POSSIBLE>grad untermotorisiert</LXA_POSSIBLE> aber au net grad flink. w≈∏rde die 2. 0 maschione mit 130ps empfehlen. der 2. 5 v6 id ≈∏bertrieben un teuer in der versicherung.",Neutral
8,"Motorsteuergerät
Noch ein kleiner Nachtrag, ich hab mal bei Ford nachgefragt,    was für ein Steuerteil denn in meinen Mondeo passt.    Die haben mich natürlich gleich wieder an einen Händler verwiesen,    hab dann bei einem großen Ford Händler hier in der Region angerufen.    Nach längerem suchen kam dann doch die überraschenden Antwort,    die Nummer sei 97BP-12A650-MABP ??? Auf meine Nachfrage ob nicht auch    ein anderes Steuergerät passen würde, wurde mir gesagt das ginge auf keinen Fall.    Ich werde heute da noch mal anrufen und denen sagen ich hätte das Steuergerät    wieder gefunden, aber die Nummer stimmt nicht, mal schauen was dann für Antworten kommen.    Wenn die ganze Sache vorbei ist, werde ich mal einen Brief an den Vorstand schreiben,    habe ich schon mal gemacht, als innerhalb eines Jahres 3 mal der Klimakompressor    seinen Geist aufgegeben hat, da haben die sich doch glatt kulant gezeigt    und die Einbaukosten mit übernommen, mal sehen."," Motorsteuerger≈†t Noch ein <LXA_POSSIBLE>kleiner Nachtrag</LXA_POSSIBLE>, ich hab mal bei Ford nachgefragt, was f≈∏r ein Steuerteil denn in meinen Mondeo passt. Die haben mich nat≈∏rlich gleich wieder an einen H≈†ndler verwiesen, hab dann bei einem gro<LXA_POSSIBLE>¬ßen</LXA_POSSIBLE> Ford H≈†ndler hier in der Region angerufen. Nach l≈†ngerem suchen kam dann doch die <LXA_POSSIBLE>≈∏berraschenden Antwort</LXA_POSSIBLE>, die Nummer sei 97BP-12A650-MABP ??? Auf meine Nachfrage ob nicht auch ein <LXA_POSSIBLE>anderes Steuerger≈†t</LXA_POSSIBLE> passen w≈∏rde, wurde mir gesagt das ginge auf keinen Fall. Ich werde heute da noch <LXA_POSSIBLE>mal anrufen</LXA_POSSIBLE> und denen sagen ich h≈†tte das Steuerger≈†t <LXA_INTERNAL_POSITIVE>wieder gefunden</LXA_INTERNAL_POSITIVE>, aber die Nummer stimmt nicht, mal schauen was dann f≈∏r Antworten kommen. Wenn die <LXA_POSSIBLE>ganze Sache</LXA_POSSIBLE> vorbei ist, werde ich mal einen Brief an den Vorstand schreiben, habe ich schon <LXA_POSSIBLE>mal gemacht</LXA_POSSIBLE>, als innerhalb eines Jahres 3 mal der Klimakompressor seinen Geist aufgegeben hat, da haben die sich doch glatt <LXA_POSSIBLE>kulant gezeigt</LXA_POSSIBLE> und die Einbaukosten mit ≈∏bernommen, <LXA_POSSIBLE>mal sehen</LXA_POSSIBLE>.",Negative
9,"Motorsteuergerät
Da zeigt es sich immer wieder was ich sage, dass die meisten Ford Händler nur Lügengeschichten Erzähler sind, und einem Sand in die Augen streuen um sich die goldene Nase zu verdienen.         Fazit= Was ein FordMensch sagt, immer mit Skepsis begegnen.              Gott sei Dank hatte ich schon Erfahrungen mit Ford Läden BEVOR ich den Mondeo bekam, so dass ich nicht gelinkt worden bin.          Dank euch und eurem Einsatz, konnte ich vieles der Probleme selber lösen.          Wir sind toll"," Motorsteuerger≈†t Da zeigt es sich immer wieder was ich sage, dass die <LXA_POSSIBLE>meisten Ford</LXA_POSSIBLE> H≈†ndler nur L≈∏gengeschichten Erz≈†hler sind, und einem Sand in die Augen streuen um sich die <LXA_POSSIBLE>goldene Nase</LXA_POSSIBLE> zu verdienen. Fazit= Was ein FordMensch sagt, immer mit Skepsis begegnen. Gott sei Dank hatte ich schon Erfahrungen mit Ford L≈†den BEVOR ich den Mondeo bekam, so dass ich <LXA_POSSIBLE>nicht gelinkt</LXA_POSSIBLE> worden bin. Dank euch und <LXA_POSSIBLE>eurem Einsatz</LXA_POSSIBLE>, konnte ich vieles der Probleme selber l≈°sen. Wir sind toll",Negative
10,"Ford Mondeo verliert leistung
An ALLE    Ihr seid Die Größten.    Habe den Kat Lergeräumt    und er Läuft weider wie gewohnt.    Danke nochmals an alle", Ford Mondeo verliert leistung An ALLE Ihr seid Die Gr≈°¬ßten. Habe den Kat Lerger≈†umt und er L≈†uft weider wie gewohnt. Danke nochmals an alle,Neutral
14,"Kaufberatung Mondeo V6
Also hab heute mit dem Händler nochmal geredet, Achsmanschetten macht er neu, hat nen Marderbiss, Bremsklötze hinten neu, vorne Scheiben und Beläge neu, Nen Service mit Ölwechsel, und Simmerring am Motor ist undicht macht er auch mit. Preislich hat er gemeint 8200 kann er machen das ist seine Schmerzgrenze. Denk da werd ich zuschlagen, hat falls ja noch was sein sollte auch noch ein Jahr Garantie ;-)         MfG    Flo"," Kaufberatung Mondeo V6 Also hab heute mit dem H≈†ndler <LXA_POSSIBLE>nochmal geredet</LXA_POSSIBLE>, Achsmanschetten macht er neu, hat nen Marderbiss, Bremskl≈°tze hinten neu, vorne Scheiben und Bel≈†ge neu, Nen Service mit ‚Ä¶lwechsel, und Simmerring am Motor ist undicht macht er auch mit. Preislich hat er gemeint 8200 kann er machen das ist seine Schmerzgrenze. Denk da werd ich zuschlagen, hat falls ja noch was sein sollte auch noch ein Jahr Garantie ;-) MfG Flo",Neutral
